"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nceh1",0.165209773874218,-0.611663845910084,0.01,0.038,1
"Noct",0.165209773874218,-1.24778806758876,0.01,0.038,1
"Dhcr24",0.165209773874218,-1.55445392773865,0.01,0.038,1
"Col8a2",0.165209773874218,-1.66012135577061,0.01,0.038,1
"Ubiad1",0.165209773874218,-1.02134771786981,0.01,0.038,1
"Slc5a6",0.165209773874218,-0.640959585920782,0.01,0.038,1
"Zfand2a",0.165209773874218,1.20574386532603,0.01,0.038,1
"Zfp790",0.165209773874218,-1.83225608393308,0.01,0.038,1
"Pomk",0.165209773874218,-1.43500413275124,0.01,0.038,1
"Crtc1",0.165209773874218,-0.71548123850826,0.01,0.038,1
"Zfp709",0.165209773874218,-1.22660577755711,0.01,0.038,1
"Tpd52l1",0.165209773874218,-1.44423942173905,0.01,0.038,1
"Adam19",0.165209773874218,-1.86526102131913,0.01,0.038,1
"Gga3",0.165209773874218,-2.11404442839034,0.01,0.038,1
"Nkapl",0.165209773874218,-1.83031894356603,0.01,0.038,1
"Fbxw17",0.165209773874218,-1.86087454622483,0.01,0.038,1
"Emb",0.165209773874218,-1.98689418695047,0.01,0.038,1
"Nnt",0.165209773874218,-1.59510641728128,0.01,0.038,1
"Top1mt",0.165209773874218,-1.90199531546784,0.01,0.038,1
"Timmdc1",0.165209773874218,-2.05198891089038,0.01,0.038,1
"Abcg1",0.165209773874218,-0.679158152611603,0.01,0.038,1
"Cbs",0.165209773874218,-1.11084642441932,0.01,0.038,1
"Zfp81",0.165209773874218,-1.94126927273811,0.01,0.038,1
"Armcx4",0.165209773874218,-1.5371237736287,0.01,0.038,1
"Fam120c",0.165209773874218,-1.82376932905816,0.01,0.038,1
"Eif1b",0.165292599411601,0.271563813690192,0.285,0.491,1
"Prpf19",0.165336885780397,0.502343082773347,0.14,0.245,1
"Rhoj",0.165523619218461,0.300021819619818,0.238,0.415,1
"Cct6a",0.165925607575239,0.397629441398192,0.212,0.358,1
"Rnf20",0.165929089397894,0.264711138273626,0.031,0.075,1
"Zfp143",0.165929089397894,-0.508792152233788,0.031,0.075,1
"Srgn",0.165929089397894,-0.178167432147494,0.031,0.075,1
"Bdp1",0.165929089397894,0.448041649317945,0.031,0.075,1
"Ercc5",0.166159054293591,-1.13545009607825,0.021,0.057,1
"Ltn1",0.166159054293591,-1.45416480662262,0.021,0.057,1
"Pcdh1",0.166159054293591,-0.600755137015766,0.021,0.057,1
"Twsg1",0.166550090799294,0.460677950099891,0.114,0.208,1
"Arpc5",0.166808616778536,1.16842242712523,0.43,0.491,1
"Ube2e3",0.167360923027276,0.255054443873468,0.264,0.434,1
"Mtmr6",0.167732886237858,0.55576846839743,0.067,0.132,1
"Rbbp7",0.167781403860045,0.915082815681824,0.269,0.491,1
"Slc6a17",0.167884291883277,0.591726566358473,0.031,0.075,1
"Ntpcr",0.167884291883277,-0.502573694851435,0.031,0.075,1
"Zdhhc16",0.167884291883277,0.127610267902537,0.031,0.075,1
"Pde5a",0.16793671324204,2.08912360955581,0.176,0.113,1
"Pkp4",0.167982169543336,2.61208772212873,0.067,0.019,1
"Irak2",0.167982169543336,2.50168471465843,0.067,0.019,1
"Cldn5",0.167982169543336,3.03921219851684,0.067,0.019,1
"Pgap1",0.168261003738919,0.297375869790185,0.01,0.038,1
"Rap2b",0.168261003738919,-0.630641121508919,0.01,0.038,1
"Ift80",0.168261003738919,0.471025416325561,0.01,0.038,1
"Bend5",0.168261003738919,-1.15679829876951,0.01,0.038,1
"Gabrb1",0.168261003738919,-1.63387822837086,0.01,0.038,1
"Rabgef1",0.168261003738919,-1.83271670407686,0.01,0.038,1
"Akr1b8",0.168261003738919,-0.343440362704514,0.01,0.038,1
"Slc7a5",0.168261003738919,-1.32899952266383,0.01,0.038,1
"Zfp426",0.168261003738919,-0.627571748313327,0.01,0.038,1
"Mras",0.168261003738919,-1.11913129504249,0.01,0.038,1
"Strada",0.168261003738919,-1.1684626136067,0.01,0.038,1
"Erap1",0.168261003738919,-0.977962503420398,0.01,0.038,1
"Poc5",0.168261003738919,-1.54586083358388,0.01,0.038,1
"Ripk3",0.168261003738919,-1.25076210071439,0.01,0.038,1
"Ephx2",0.168261003738919,-1.42549252599292,0.01,0.038,1
"Rhobtb2",0.168261003738919,-1.74775807139205,0.01,0.038,1
"Tspyl5",0.168261003738919,-0.176955382671232,0.01,0.038,1
"Slc25a32",0.168261003738919,-1.26853094509672,0.01,0.038,1
"Rabl3",0.168261003738919,-0.883837461028879,0.01,0.038,1
"Clcn7",0.168261003738919,-1.29673320948988,0.01,0.038,1
"Srfbp1",0.168261003738919,-1.21688805015484,0.01,0.038,1
"Stambpl1",0.168261003738919,-0.63949713845719,0.01,0.038,1
"Bex2",0.168261003738919,-1.09592690949543,0.01,0.038,1
"C1qa",0.168359183143368,1.30618058646158,0.238,0.17,1
"Inpp5b",0.168442392624297,2.05356820653223,0.093,0.038,1
"Cetn3",0.168526585870271,1.51571265343918,0.42,0.491,1
"Synm",0.168851576281916,1.71643433042644,0.14,0.075,1
"Rps23",0.169292199103212,-0.177720953639349,0.788,0.962,1
"Fcgr3",0.169662671109031,2.56331433535497,0.067,0.019,1
"Ctps",0.169662671109031,2.40545537979358,0.067,0.019,1
"Stmn4",0.169662671109031,3.29936937288349,0.067,0.019,1
"Cacybp",0.169698642995097,0.904216365612851,0.218,0.377,1
"Kbtbd4",0.169856744447593,0.836940671692099,0.031,0.075,1
"E130309D02Rik",0.169856744447593,0.578086201465785,0.031,0.075,1
"Rybp",0.169856744447593,-0.458972900161609,0.031,0.075,1
"Sorbs3",0.169856744447593,0.624343709623792,0.031,0.075,1
"N6amt1",0.169856744447593,0.193365668686332,0.031,0.075,1
"Grpel2",0.169856744447593,-0.252858280685455,0.031,0.075,1
"Hexim1",0.170006840272776,0.764281981643904,0.078,0.151,1
"Arhgef17",0.170447439533173,0.851269833121714,0.104,0.189,1
"Cmc2",0.170626634311861,0.397588382053941,0.13,0.226,1
"Fabp7",0.170834225424739,0.190545204416588,0.093,0.17,1
"Prkci",0.170837192926369,-1.07921566052318,0.021,0.057,1
"Gstm7",0.170837192926369,-1.1602354393947,0.021,0.057,1
"Wnt4",0.170837192926369,-1.04515631456358,0.021,0.057,1
"Htt",0.170837192926369,0.237517089966076,0.021,0.057,1
"Svip",0.170837192926369,-0.762475532179125,0.021,0.057,1
"Trappc11",0.170837192926369,-0.804884670260028,0.021,0.057,1
"Hmox1",0.170837192926369,-1.01369768469591,0.021,0.057,1
"Pcnt",0.170837192926369,-1.08941345622723,0.021,0.057,1
"Dbn1",0.170837192926369,-0.386078338565129,0.021,0.057,1
"Opa1",0.170837192926369,-0.764155670055789,0.021,0.057,1
"Il34",0.171035039176063,0.418989206842866,0.223,0.358,1
"Tspan15",0.17125662662712,2.29764133426421,0.119,0.057,1
"Capn10",0.17135434328126,-0.488045638457033,0.01,0.038,1
"Ccdc93",0.17135434328126,-0.196296991355462,0.01,0.038,1
"Abl2",0.17135434328126,0.968112524015012,0.01,0.038,1
"Kctd3",0.17135434328126,-0.533778354688797,0.01,0.038,1
"Rpp38",0.17135434328126,-0.784769282274001,0.01,0.038,1
"Trub2",0.17135434328126,-0.731149300848156,0.01,0.038,1
"Tnfaip6",0.17135434328126,-0.221838954070206,0.01,0.038,1
"Slc43a3",0.17135434328126,-0.56403394326327,0.01,0.038,1
"Cd59b",0.17135434328126,0.207942692186453,0.01,0.038,1
"Mgme1",0.17135434328126,-0.823317657635773,0.01,0.038,1
"Gss",0.17135434328126,-0.74228198912047,0.01,0.038,1
"Prex1",0.17135434328126,-1.01826908004392,0.01,0.038,1
"Tsacc",0.17135434328126,-0.91681070334961,0.01,0.038,1
"Flad1",0.17135434328126,-1.14567444296629,0.01,0.038,1
"Kcna2",0.17135434328126,-0.926336167139349,0.01,0.038,1
"Wdr47",0.17135434328126,-1.07744677446022,0.01,0.038,1
"Palmd",0.17135434328126,-0.495256766310046,0.01,0.038,1
"4933421O10Rik",0.17135434328126,-0.929477658269957,0.01,0.038,1
"Megf9",0.17135434328126,-0.598250273215124,0.01,0.038,1
"Cachd1",0.17135434328126,-0.503496493813083,0.01,0.038,1
"Foxd2",0.17135434328126,-0.754649216738822,0.01,0.038,1
"Tmem69",0.17135434328126,-0.177042104548038,0.01,0.038,1
"Ago3",0.17135434328126,-0.528394157213529,0.01,0.038,1
"Cd52",0.17135434328126,0.4357834564758,0.01,0.038,1
"Casp9",0.17135434328126,-1.04937150487338,0.01,0.038,1
"Pus7",0.17135434328126,-0.432706550729856,0.01,0.038,1
"Kit",0.17135434328126,-0.261780556581013,0.01,0.038,1
"Ankle2",0.17135434328126,0.240430558124122,0.01,0.038,1
"Acad12",0.17135434328126,-0.372210451203685,0.01,0.038,1
"Rbak",0.17135434328126,-0.191373610415489,0.01,0.038,1
"Tbxas1",0.17135434328126,-1.10952076632709,0.01,0.038,1
"Plekha8",0.17135434328126,-0.655983882792154,0.01,0.038,1
"Mad2l1",0.17135434328126,-1.17306581399639,0.01,0.038,1
"Dusp16",0.17135434328126,1.07377551701757,0.01,0.038,1
"C2cd5",0.17135434328126,-0.311933782672392,0.01,0.038,1
"Zfp324",0.17135434328126,-1.15174423738201,0.01,0.038,1
"Dhx34",0.17135434328126,0.447249945913678,0.01,0.038,1
"Zfp112",0.17135434328126,-0.914894230299451,0.01,0.038,1
"B3gnt8",0.17135434328126,-0.216904319163576,0.01,0.038,1
"Fancf",0.17135434328126,-1.00494342155685,0.01,0.038,1
"Eri2",0.17135434328126,-0.842715607770001,0.01,0.038,1
"Slc25a22",0.17135434328126,-1.55332751415175,0.01,0.038,1
"Ctxn1",0.17135434328126,-0.93799983443667,0.01,0.038,1
"Rnf122",0.17135434328126,-0.710544453272558,0.01,0.038,1
"Armc6",0.17135434328126,0.733988449251449,0.01,0.038,1
"Myo9b",0.17135434328126,0.550852263523149,0.01,0.038,1
