"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cenpq1",3.40516773082592e-77,0.242824323504256,0.047,0.022,7.43586477380456e-73,"C_6m","Cenpq"
"Them6",4.12818973526236e-77,0.161459801141437,0.04,0.017,9.01472792489242e-73,"C_6m","Them6"
"Adnp22",4.12847424442843e-77,0.42840155314874,0.021,0.007,9.01534920755837e-73,"C_6m","Adnp2"
"Syn31",5.02050146974912e-77,1.0906351028873,0.017,0.005,1.09632690594912e-72,"C_6m","Syn3"
"Hdac71",6.26692928155416e-77,0.145426471903127,0.05,0.024,1.36850934721298e-72,"C_6m","Hdac7"
"Shank11",1.23483418216163e-76,1.55100051229899,0.014,0.004,2.69650740358636e-72,"C_6m","Shank1"
"Galnt18",1.33684072495509e-76,0.604209977344273,0.029,0.011,2.91925909108443e-72,"C_6m","Galnt18"
"Man2b1",1.93478429908666e-76,0.195640298670622,0.164,0.11,4.22498847391554e-72,"C_6m","Man2b1"
"Aqp91",1.94957775221845e-76,1.29638270045464,0.014,0.003,4.25729293751943e-72,"C_6m","Aqp9"
"Nedd91",2.94902645659328e-76,0.113076431719553,0.034,0.014,6.43978907326275e-72,"C_6m","Nedd9"
"1700001G11Rik",3.52647904411655e-76,0.750464951776005,0.013,0.003,7.70077228863732e-72,"C_6m","1700001G11Rik"
"Triqk1",3.61599389535064e-76,0.329945330214802,0.026,0.009,7.89624586927718e-72,"C_6m","Triqk"
"Ttc21a",5.50999645700673e-76,0.947279005328475,0.011,0.002,1.20321792631656e-71,"C_6m","Ttc21a"
"Megf81",5.59489662256539e-76,0.211948368962967,0.031,0.012,1.2217575754696e-71,"C_6m","Megf8"
"Spint1",5.69444993416427e-76,0.524218439835773,0.039,0.017,1.24349703212345e-71,"C_6m","Spint1"
"Efhc1",6.12114929495529e-76,0.181058100039038,0.016,0.004,1.33667537153939e-71,"C_6m","Efhc1"
