"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ttc5",5.3843564951417e-20,-0.240940989550544,0.062,0.184,1.11935387177501e-15
"Eif4ebp1",5.54096428879837e-20,-0.335884078431006,0.022,0.098,1.15191106599829e-15
"Atp5j",5.71094559386632e-20,1.16863441009725,0.67,0.785,1.18724847950887e-15
"Nr2f6",5.80219936538581e-20,-0.691758318271313,0.029,0.114,1.20621922607006e-15
"Rnmt",5.84219237225029e-20,-0.440866874018618,0.032,0.121,1.21453337226711e-15
"Creb5",5.97739414006407e-20,-2.49873719075774,0.002,0.038,1.24264046777792e-15
"Fam171a2",5.98660267767555e-20,-1.6917124854299,0.004,0.047,1.24455483066197e-15
"Bcl9",6.07712657400568e-20,-0.87871051186765,0.018,0.087,1.26337384347004e-15
"Uqcr10",6.12841279750658e-20,1.42584932334617,0.616,0.703,1.27403573647364e-15
"Dync2h1",6.26663619324832e-20,-0.797675443582273,0.03,0.115,1.30277099821439e-15
"Safb",6.36560768915679e-20,-0.163006520139038,0.059,0.177,1.32334618249881e-15
"Zfp874a",6.37727533321036e-20,-1.33839875280295,0.007,0.058,1.3257717690211e-15
"Tulp3",6.64772379911126e-20,-0.76654942242277,0.031,0.119,1.38199530059724e-15
"Carkd",6.71154579251223e-20,9.4006400041531,0.13,0,1.39526325480537e-15
"Srp14",6.7800796179641e-20,0.141661570193857,0.231,0.493,1.40951075177856e-15
"Iqgap1",6.80135272169397e-20,-1.26459226017925,0.017,0.084,1.41393321731296e-15
"Ppp1r37",6.95898269328996e-20,-0.624799865871884,0.02,0.093,1.44670291210805e-15
"Tmem168",7.01163463123656e-20,-0.896972449874899,0.017,0.086,1.45764872348777e-15
"Gtf3c2",7.13439106223007e-20,-0.28328984427102,0.053,0.164,1.48316855792701e-15
"Kpna1",7.34279844275853e-20,-0.339665928534754,0.024,0.101,1.52649436826507e-15
"Eif5b",7.40562791335433e-20,0.160689381399877,0.141,0.329,1.53955598690723e-15
"Kif5c",7.50209609214511e-20,-1.56984330075635,0.013,0.073,1.55961075659605e-15
"AW549877",7.70724605357513e-20,-0.314785214538201,0.044,0.145,1.60225938207773e-15
"Tmem141",7.75409962795964e-20,-0.146551032922259,0.03,0.117,1.61199977165653e-15
"Psmd7",7.98377573491504e-20,0.177200039606052,0.18,0.402,1.65974713753149e-15
"Rab22a",8.01194503130147e-20,-0.484447872244535,0.027,0.11,1.66560325255726e-15
"Sppl3",8.10435910940236e-20,-0.473556350907009,0.026,0.107,1.68481521525366e-15
"Gpaa1",8.12845839825191e-20,-0.247301526721591,0.05,0.159,1.68982521641259e-15
"Coro2b",8.2247819379639e-20,-0.455952594752457,0.033,0.122,1.70984991708332e-15
"Pebp1",8.25441843425237e-20,0.243255843596934,0.284,0.593,1.71601104829672e-15
"Cby1",8.29804320786717e-20,0.17935124734833,0.076,0.212,1.72508020248351e-15
"Pspc1",8.42233215734571e-20,-0.654509017017686,0.021,0.094,1.7509186321906e-15
"Fktn",8.63943710582539e-20,-1.16177689660989,0.016,0.082,1.79605257993004e-15
"Zbtb7a",8.68424341683005e-20,-0.447801261165119,0.042,0.142,1.8053673639248e-15
"Rnf216",8.88410656311783e-20,-0.750973712989969,0.021,0.094,1.84691691340657e-15
"Atf2",9.39276786621439e-20,-0.75318845341275,0.032,0.121,1.95266251170731e-15
"Ep400",9.80414273988343e-20,-1.02377173099705,0.018,0.087,2.03818323419437e-15
"Atp6v1a",9.94475758897453e-20,-0.195242810262738,0.076,0.208,2.06741565517191e-15
"Tcf7l1",1.02178678631021e-19,-1.19340757698554,0.01,0.065,2.1241925500603e-15
"Ifi35",1.02966068665995e-19,-2.21296789213641,0.007,0.054,2.14056160149736e-15
"A730020M07Rik",1.03846612824485e-19,-3.38420578426002,0.002,0.037,2.15886723400822e-15
"Depdc5",1.04370536621757e-19,-3.25557742586222,0.002,0.037,2.16975908582971e-15
"Klf12",1.06086198629504e-19,-1.50222541260304,0.01,0.066,2.20542598330875e-15
"Ddx42",1.07175862430707e-19,-0.733932612629304,0.035,0.126,2.22807900407197e-15
"Nceh1",1.07600900925592e-19,-0.995241693574084,0.012,0.072,2.23691512934213e-15
"Zfp933",1.07890506114772e-19,-1.41733501350519,0.01,0.065,2.24293573162e-15
"Gm26691",1.10658648903021e-19,-7.80767989131806,0,0.024,2.30048265204491e-15
"Gm37529",1.10658691773264e-19,-7.82542160427988,0,0.024,2.30048354327438e-15
"Zfp968",1.10658691773264e-19,-7.73957489999408,0,0.024,2.30048354327438e-15
"Plac8",1.10658691773264e-19,-9.02945167870371,0,0.024,2.30048354327438e-15
"5430403G16Rik",1.10658691773264e-19,-7.83606247839231,0,0.024,2.30048354327438e-15
"Rcc1l",1.10658691773264e-19,-7.33947013808988,0,0.024,2.30048354327438e-15
"Ccdc142os",1.10658691773264e-19,-7.77862599085548,0,0.024,2.30048354327438e-15
"Zfp975",1.10658691773264e-19,-7.60850692630346,0,0.024,2.30048354327438e-15
"Gm9885",1.10658691773264e-19,-7.92017561259155,0,0.024,2.30048354327438e-15
"D830025C05Rik",1.10658691773264e-19,-7.81691019933353,0,0.024,2.30048354327438e-15
"Fcsk",1.10658691773264e-19,-7.86788708745104,0,0.024,2.30048354327438e-15
"Gm16124",1.10658691773264e-19,-7.8940490434736,0,0.024,2.30048354327438e-15
"Gm28424",1.10658691773264e-19,-7.97832281940521,0,0.024,2.30048354327438e-15
"Gm35552",1.10658691773264e-19,-7.37492668577846,0,0.024,2.30048354327438e-15
"A630052C17Rik",1.10658691773264e-19,-7.88546901818497,0,0.024,2.30048354327438e-15
"Gm45605",1.10658691773264e-19,-7.94535044687323,0,0.024,2.30048354327438e-15
"A530017D24Rik",1.10658691773264e-19,-7.9219321190533,0,0.024,2.30048354327438e-15
"Ighm",1.10658691773264e-19,-7.54010660255434,0,0.024,2.30048354327438e-15
"Gm47359",1.10658691773264e-19,-8.01155187721597,0,0.024,2.30048354327438e-15
"Platr25",1.10658691773264e-19,-7.66485187015554,0,0.024,2.30048354327438e-15
"Gm38604",1.10658691773264e-19,-7.97876151524859,0,0.024,2.30048354327438e-15
"Shld2",1.10658691773264e-19,-8.67641532627063,0,0.024,2.30048354327438e-15
"BC002059",1.10658691773264e-19,-7.92358556087916,0,0.024,2.30048354327438e-15
"Gm50431",1.10658691773264e-19,-7.99297092282875,0,0.024,2.30048354327438e-15
"Ythdf3",1.1177076159079e-19,-0.397396722476148,0.039,0.135,2.32360236271094e-15
"Pld2",1.19134600558246e-19,-0.184786570396553,0.049,0.156,2.47668921100539e-15
"Tnks",1.21214130370493e-19,-1.38853839140914,0.007,0.054,2.51992055627218e-15
"Dvl1",1.21825515739883e-19,-1.17629523511515,0.011,0.068,2.53263064671643e-15
"Cltc",1.22909816254825e-19,0.122122993862879,0.118,0.287,2.55517217012155e-15
"Aph1b",1.24228067668596e-19,-0.584819913107604,0.021,0.094,2.58257729876244e-15
"Rest",1.25511459126865e-19,-0.814147770616239,0.02,0.093,2.6092577237884e-15
"Rnf157",1.26855399857319e-19,-2.20951157904095,0.004,0.045,2.6371969076338e-15
"Actr1b",1.26955574893314e-19,-0.393850808886157,0.029,0.114,2.6392794464571e-15
"Parn",1.30314484829564e-19,-1.04988326341699,0.015,0.079,2.70910782512182e-15
"Cpeb1",1.30470385900748e-19,-1.25219012494384,0.014,0.077,2.71234885249065e-15
"Rin2",1.32650618538924e-19,-0.579866102554813,0.028,0.11,2.7576737088057e-15
"Supt16",1.32998524138066e-19,-0.371095651484993,0.037,0.131,2.76490631830625e-15
"Cbx6",1.37800014872829e-19,-0.75658992321908,0.029,0.112,2.86472450919125e-15
"Elf1",1.39006107106859e-19,-0.873645213230374,0.026,0.105,2.8897979606445e-15
"Pcyox1",1.40917156236787e-19,-0.529368519897563,0.032,0.119,2.92952676100656e-15
"Ppt1",1.4291360571893e-19,0.150271578923523,0.11,0.274,2.97103094929084e-15
"5330434G04Rik",1.43907308636511e-19,-2.27087193287487,0.004,0.045,2.99168903924443e-15
"Ift27",1.43981667589673e-19,0.222594256927611,0.167,0.379,2.99323488752171e-15
"Adgrl1",1.43995852370751e-19,-0.476735600331063,0.061,0.178,2.99352977493554e-15
"Cep290",1.4554736234019e-19,-1.20608312987903,0.015,0.079,3.02578411569021e-15
"Usp16",1.4583078508223e-19,-1.11517704903446,0.026,0.105,3.03167619107449e-15
"Med25",1.50872855316798e-19,-0.297582344719134,0.053,0.164,3.13649578918091e-15
"P4htm",1.5746769452199e-19,-0.311503198209925,0.036,0.129,3.27359590141764e-15
"Pnpla6",1.62697642160464e-19,-0.867103010898227,0.018,0.086,3.38232128287388e-15
"Apba2",1.64569098215784e-19,0.177444549673479,0.112,0.276,3.42122698280793e-15
"Tmem117",1.6915178350552e-19,-2.94076130100405,0.002,0.035,3.51649642729626e-15
"AI429214",1.6959141348217e-19,-3.44789478777055,0.002,0.035,3.52563589488084e-15
"Adcy8",1.70401208745995e-19,-0.744056756129322,0.021,0.094,3.5424707286205e-15
"Pcid2",1.76322966425615e-19,-2.1194293935191,0.002,0.035,3.66557814902212e-15
