"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ciao3",8.18004342787922e-10,-5.78792875412955,0,0.059,1.70054922822181e-05
"AC166172.1",8.18004342787922e-10,-6.40115579325246,0,0.059,1.70054922822181e-05
"Stard4",8.18004342787922e-10,-5.70708480072432,0,0.059,1.70054922822181e-05
"Gm19500",8.18004342787922e-10,-7.2871126633824,0,0.059,1.70054922822181e-05
"Minar2",8.18004342787922e-10,-6.63751848901984,0,0.059,1.70054922822181e-05
"Gpc3",8.18004342787922e-10,-6.96289126343188,0,0.059,1.70054922822181e-05
"Pycrl",8.25082494934423e-10,-0.219611375077222,0.048,0.212,1.71526399871917e-05
"Ppp1r35",8.25817886726233e-10,0.169279010920813,0.09,0.305,1.71679280471516e-05
"Zfp423",8.30070588957645e-10,-1.24871983731804,0.027,0.161,1.72563374738405e-05
"Spg7",8.37876298324124e-10,-1.44037107063713,0.043,0.195,1.74186103658602e-05
"Nicn1",8.40621369339384e-10,-0.411860194969061,0.033,0.178,1.74756776471965e-05
"Mrps30",8.43240509477975e-10,-0.32629326478215,0.027,0.161,1.75301269515376e-05
"Znfx1",8.45575583214433e-10,-0.819089648780908,0.016,0.127,1.75786707994449e-05
"Samd4",8.45575583214433e-10,-2.47917405714921,0.016,0.127,1.75786707994449e-05
"Isca2",8.5049053388555e-10,0.113776016768059,0.101,0.322,1.76808477089467e-05
"Gpr107",8.61571462240044e-10,-1.00785139653774,0.016,0.127,1.79112091285083e-05
"Ptgr1",8.61571462240044e-10,-1.15293033603454,0.016,0.127,1.79112091285083e-05
"Eef1akmt1",8.71256470996679e-10,-0.100553668255151,0.074,0.271,1.811255077555e-05
"Mxra7",8.86120025256068e-10,-1.4290613812043,0.016,0.127,1.84215492050484e-05
"0610012G03Rik",9.05504967965991e-10,0.398365870252399,0.203,0.534,1.8824542779045e-05
"Dusp14",9.12411420159066e-10,-2.31945841233517,0.035,0.178,1.89681210136868e-05
"Cog7",9.1367085869993e-10,-1.94481580694624,0.054,0.22,1.89943034815128e-05
"Rab23",9.28558201890887e-10,-0.688739951949764,0.016,0.127,1.93037964591096e-05
"Vps53",9.29116284124634e-10,-1.48838738237806,0.022,0.144,1.9315398430667e-05
"Mid1",9.46082853893668e-10,-0.539329736508926,0.016,0.127,1.96681164495955e-05
"Ift52",9.53210765853135e-10,-1.0655787240013,0.029,0.161,1.98162986113208e-05
"Trp53inp1",9.54965715579168e-10,-0.644545321288075,0.016,0.127,1.98527822611753e-05
"Ggact",9.54965715579168e-10,-0.483114262622749,0.016,0.127,1.98527822611753e-05
"Psma6",9.5920300335786e-10,0.530823237171655,0.171,0.475,1.99408712368066e-05
"Sarnp",9.63445660095806e-10,0.579794049957609,0.236,0.602,2.00290718277317e-05
"Ywhag",9.65886874498782e-10,-0.909953914948565,0.055,0.229,2.00798222339552e-05
"Trim30d",9.72236869251351e-10,-4.37948826805041,0.005,0.085,2.02118322748663e-05
"Thap7",9.72813961202683e-10,-0.413147258458178,0.033,0.178,2.02238294394426e-05
"Tatdn3",9.79323152435706e-10,-2.10440523432508,0.011,0.11,2.03591490159859e-05
"Bet1",9.79955245957422e-10,0.661252529982868,0.087,0.297,2.03722896082088e-05
"Zcchc24",1.00694253303614e-09,-0.282490414651826,0.024,0.153,2.09333283192883e-05
"Braf",1.00890229753241e-09,-3.03008989081264,0.025,0.153,2.09740698634013e-05
"Bnip2",1.01678316989501e-09,0.657703127240698,0.07,0.263,2.11379053189475e-05
"Ptcd2",1.02527482173214e-09,-0.964438997429308,0.025,0.153,2.13144382689895e-05
"Gmds",1.03158875570181e-09,-2.38590683727989,0.011,0.11,2.14456986422849e-05
"Akap8l",1.03475023805528e-09,-0.224105849425923,0.062,0.246,2.15114226989312e-05
"Nono",1.03916026650971e-09,0.194303696066646,0.128,0.373,2.16031027804703e-05
"Sfrp1",1.04690612567291e-09,-1.01268499189411,0.073,0.263,2.17641314466141e-05
"Ankmy2",1.0532511545968e-09,-1.34758716876164,0.019,0.136,2.18960382529129e-05
"Plekhb1",1.05952351977068e-09,0.264878390477832,0.116,0.364,2.20264344525126e-05
"Nfu1",1.0650353260544e-09,0.127786370908442,0.097,0.314,2.2141019393345e-05
"Itm2c",1.06547519035364e-09,-0.50960335805831,0.395,0.754,2.21501637322618e-05
"Vps37a",1.07073867445165e-09,-0.736825608195108,0.038,0.186,2.22595863031753e-05
"Dnajb6",1.07114666939587e-09,0.546813345524363,0.2,0.517,2.22680681100706e-05
"Tab2",1.07445045056762e-09,-1.74266704070889,0.043,0.195,2.23367504168503e-05
"Ppa2",1.07771170005578e-09,0.474849040651953,0.059,0.237,2.24045485324595e-05
"Zfand3",1.08008100010261e-09,-0.667004708448838,0.044,0.203,2.24538039111332e-05
"Nudcd2",1.08911872254283e-09,0.135098271031251,0.079,0.28,2.2641689122943e-05
"Ppwd1",1.10530370532666e-09,-3.45807987510272,0.005,0.085,2.29781587300358e-05
"Ccdc80",1.10628694602297e-09,-0.410723267498751,0.03,0.169,2.29985993208715e-05
"Pycr2",1.10802694906714e-09,-0.445748028104544,0.057,0.229,2.30347722441568e-05
"Prmt2",1.11675587309022e-09,0.289029743294892,0.065,0.254,2.32162378456726e-05
"Slc25a25",1.11954816630741e-09,-3.34434590363308,0.005,0.085,2.32742868293647e-05
"Fbxl13",1.11954816630741e-09,-1.34070997643551,0.005,0.085,2.32742868293647e-05
"Zfp451",1.12032049186276e-09,-1.36128004922944,0.019,0.136,2.3290342705335e-05
"Ahctf1",1.12032049186276e-09,-1.82546931158466,0.019,0.136,2.3290342705335e-05
"Thoc5",1.12092033236223e-09,-2.04345100672373,0.011,0.11,2.33028127894784e-05
"Vps72",1.12338021789263e-09,0.352384252877642,0.043,0.203,2.335395134977e-05
"Kdm5a",1.1320729815655e-09,-0.206448986583368,0.038,0.186,2.35346652137651e-05
"Ttc16",1.13397155024371e-09,-3.92543052907713,0.005,0.085,2.35741345580165e-05
"Atg3",1.13766417696264e-09,0.346404105857919,0.089,0.305,2.36509005748764e-05
