"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rab21",1.53872605495516e-150,-4.54013040047133,0.008,0.42,3.19885759564629e-146
"Lnpk",1.86572804315183e-148,-10.1871383432787,0,0.33,3.87866202890833e-144
"Cwc22",2.37843342220028e-148,-3.32698371300425,0.027,0.557,4.94452524141217e-144
"BC005537",6.44206612914419e-148,-3.82301328935078,0.013,0.455,1.33924112758778e-143
"Ro60",7.28856603614682e-146,-10.327350433788,0,0.324,1.51521999325456e-141
"Dmac1",7.28856603614682e-146,-10.2626082188221,0,0.324,1.51521999325456e-141
"Cavin3",2.83213394377289e-143,-10.2914465766552,0,0.318,5.88772325570946e-139
"Nbdy",2.83213394377289e-143,-10.3960085678237,0,0.318,5.88772325570946e-139
"Camk2n2",4.20679936647695e-143,-4.90180627108634,0.008,0.403,8.74551520296893e-139
"Sap30l",4.17174572336932e-142,-2.65323724770088,0.015,0.46,8.67264218431248e-138
"Tusc3",1.62892727317118e-140,-3.2398485400438,0.014,0.449,3.38637690819557e-136
"Taf10",1.14570529088977e-139,-3.49154519332365,0.032,0.562,2.38180672923075e-135
"BC004004",1.19368578370882e-139,-2.66374617649484,0.082,0.79,2.48155337575226e-135
"Nsd3",4.20832722108015e-138,-10.1685308716287,0,0.307,8.74869145990353e-134
"mt-Nd6",4.20832722108015e-138,-10.3170930700615,0,0.307,8.74869145990353e-134
"Kmt5a",1.60932254521598e-135,-10.2644021761998,0,0.301,3.34562063924949e-131
"Resf1",1.60932254521598e-135,-10.03863272519,0,0.301,3.34562063924949e-131
"Pclaf",1.60932254521598e-135,-12.3104492170035,0,0.301,3.34562063924949e-131
"Ttc19",1.56434045443448e-133,-3.98326298344508,0.009,0.392,3.25210737072385e-129
"Pip4p1",6.1217248959299e-133,-9.84815354320216,0,0.295,1.27264538861487e-128
"Gm14964",6.1217248959299e-133,-10.6653730655234,0,0.295,1.27264538861487e-128
"Cox16",2.4266497693985e-131,-2.70660927256559,0.033,0.551,5.04476220560254e-127
"Gsdme",2.31636402268561e-130,-9.88692592708694,0,0.29,4.81548916676111e-126
"Mesd",2.31636402268561e-130,-9.90802053146824,0,0.29,4.81548916676111e-126
"Mettl26",2.31636402268561e-130,-10.3763951872624,0,0.29,4.81548916676111e-126
"Nsmce3",8.71861387813818e-128,-9.87778513125914,0,0.284,1.81251263912615e-123
"Gm17018",8.71861387813818e-128,-10.6857751231813,0,0.284,1.81251263912615e-123
"Zranb1",7.73687535110326e-123,-3.0972474494056,0.012,0.392,1.60841901674086e-118
"Tmem131l",1.21583302347561e-122,-10.0719049707411,0,0.273,2.52759527250344e-118
"Ccnq",1.21583302347561e-122,-9.94261742545712,0,0.273,2.52759527250344e-118
"Hnrnpa0",4.71014906757854e-122,-2.99483539943205,0.11,0.79,9.79192889658904e-118
"Colec12",8.37483030867657e-122,-5.22361666338769,0.003,0.301,1.74104347287077e-117
"Cop1",4.50475819266171e-120,-9.91362085421086,0,0.267,9.36494180672443e-116
"Ptpa",4.50475819266171e-120,-9.61810590249106,0,0.267,9.36494180672443e-116
"Mosmo",4.50475819266171e-120,-9.82786211606048,0,0.267,9.36494180672443e-116
"Ppp4r3b",4.50475819266171e-120,-9.94703072587872,0,0.267,9.36494180672443e-116
"Msi1",2.10233142589053e-119,-5.73715332936901,0.001,0.278,4.37053680128383e-115
"Hist3h2a",1.14063602778926e-117,-3.55356580699405,0.017,0.415,2.37126823817109e-113
"Ubl4a",1.66035166973553e-117,-9.64083831871815,0,0.261,3.45170508621319e-113
"Bod1",2.12426749364079e-115,-2.48906327747192,0.046,0.574,4.41613969252984e-111
"Sinhcaf",6.08788151730669e-115,-10.1087916759756,0,0.256,1.26560968863289e-110
"2410002F23Rik",6.08788151730669e-115,-9.83945051475153,0,0.256,1.26560968863289e-110
"Hdgfl2",6.08788151730669e-115,-9.8173300181992,0,0.256,1.26560968863289e-110
"Hddc3",9.46047861134661e-115,-3.2163147788032,0.016,0.398,1.96673889851285e-110
"Dhx36",3.09289628806442e-113,-2.29298054897334,0.051,0.591,6.42982209325712e-109
"Maip1",2.22063178558244e-112,-9.57437937150427,0,0.25,4.61647141904734e-108
"Mia2",2.22063178558244e-112,-9.86293174831827,0,0.25,4.61647141904734e-108
"Retreg2",8.05820327709535e-110,-9.79442433749671,0,0.244,1.67521987927535e-105
"Odr4",8.05820327709535e-110,-9.530299638276,0,0.244,1.67521987927535e-105
"Mir9-3hg",8.05820327709535e-110,-9.9694551174415,0,0.244,1.67521987927535e-105
"Tut7",8.05820327709535e-110,-9.52222508450863,0,0.244,1.67521987927535e-105
"Ufd1",8.05820327709535e-110,-9.76116362438521,0,0.244,1.67521987927535e-105
"Brd1",1.4872432219794e-109,-2.85923912880315,0.029,0.466,3.09182993417297e-105
"Cystm1",1.55625243869435e-109,-3.89601980877953,0.009,0.33,3.23529319480169e-105
"Hist1h1c",2.28551785466405e-109,-4.591270825562,0.014,0.369,4.7513630680611e-105
"Ppm1a",2.3134162363482e-108,-2.83470654778897,0.026,0.449,4.80936101374427e-104
"Bcas1",5.64432329964921e-108,-4.76078481939157,0.005,0.295,1.17339837076407e-103
"Gm8797",2.90909957842528e-107,-9.67105844536173,0,0.239,6.04772711358831e-103
"Cenps",2.90909957842528e-107,-9.51017520934385,0,0.239,6.04772711358831e-103
"Bud23",2.90909957842528e-107,-9.53310531216886,0,0.239,6.04772711358831e-103
"Ppp4r3a",2.90909957842528e-107,-9.51303696880427,0,0.239,6.04772711358831e-103
"Schip1",1.15100304385784e-106,-6.71641011490302,0.001,0.25,2.39282022787606e-102
"Bcl7c",3.29853464533139e-106,-2.90409200008047,0.025,0.438,6.85732367417942e-102
"1500004A13Rik",6.04047833490666e-106,-3.60754892604061,0.008,0.318,1.25575504104375e-101
"Kmt5b",1.04482688196144e-104,-10.0542167983358,0,0.233,2.17209060490964e-100
"Eif3j1",1.04482950174488e-104,-9.7317528369818,0,0.233,2.17209605117744e-100
"Rlf",1.04482950174488e-104,-9.5285474571352,0,0.233,2.17209605117744e-100
"Amd1",1.04482950174488e-104,-9.26488093941313,0,0.233,2.17209605117744e-100
"Vamp7",1.04482950174488e-104,-9.29985454281183,0,0.233,2.17209605117744e-100
"Tcaf1",2.33757497339561e-103,-2.83161622319738,0.03,0.455,4.85958461219214e-99
"Eid1",3.75452286148877e-103,-2.19756493591223,0.103,0.756,7.80527757674901e-99
"Mbd2",6.31171208282242e-103,-4.90804004384723,0.005,0.284,1.31214182489795e-98
"Dipk1b",3.73342057574578e-102,-9.86103439279974,0,0.227,7.76140803491791e-98
"Washc2",3.73342057574578e-102,-9.49705731599003,0,0.227,7.76140803491791e-98
"Tpm3-rs7",3.73342057574578e-102,-9.71277257723828,0,0.227,7.76140803491791e-98
"Cfap298",3.73342057574578e-102,-9.36157210858461,0,0.227,7.76140803491791e-98
"Rnd2",1.41842689573019e-101,-6.94486088537532,0.001,0.239,2.9487676735335e-97
"Hnrnpul1",1.8949714278019e-100,-3.52487942706366,0.019,0.381,3.93945610125737e-96
"Ogt",5.56459283059953e-100,-2.19847459443191,0.07,0.631,1.15682320355334e-95
"Selenot",1.32724680559441e-99,-9.4994405792303,0,0.222,2.75921338415022e-95
"Wrap73",1.32724680559441e-99,-9.19183349757425,0,0.222,2.75921338415022e-95
"Thap12",1.32724680559441e-99,-9.7458425529621,0,0.222,2.75921338415022e-95
"Plpbp",1.32724680559441e-99,-9.19854316751586,0,0.222,2.75921338415022e-95
"Washc3",1.32724680559441e-99,-9.14573871031561,0,0.222,2.75921338415022e-95
"Gm49980",1.32724680559441e-99,-9.41089489342062,0,0.222,2.75921338415022e-95
"Vegfb",3.61465571710021e-99,-2.15797644179998,0.036,0.477,7.51450777027963e-95
"Kctd2",2.00698947703827e-97,-3.9846649212765,0.007,0.29,4.17233042381485e-93
"Mindy3",4.69449492946071e-97,-9.28020289215104,0,0.216,9.75938550885586e-93
"Babam2",4.69449492946071e-97,-9.25124057369758,0,0.216,9.75938550885586e-93
"Sox1ot",4.69449492946071e-97,-10.1336853131844,0,0.216,9.75938550885586e-93
"Gm5914",4.69449492946071e-97,-9.37104472070503,0,0.216,9.75938550885586e-93
"Amz2",4.69449492946071e-97,-9.57580066831,0,0.216,9.75938550885586e-93
"Scamp3",1.59939442706399e-96,-7.06878855581378,0.001,0.227,3.32498107442334e-92
"Csnk2a2",7.8937312920275e-96,-3.68490863487563,0.01,0.307,1.6410277982996e-91
"Mir124-2hg",1.65206890468418e-94,-9.6836533137052,0,0.21,3.43448604594794e-90
"Rhno1",1.65206890468418e-94,-9.51085442550304,0,0.21,3.43448604594794e-90
"Mindy2",1.65206890468418e-94,-9.8006809601257,0,0.21,3.43448604594794e-90
"Gatd3a",1.65206890468418e-94,-9.52896618736187,0,0.21,3.43448604594794e-90
"Nktr",1.64379546844914e-93,-2.15706837614712,0.074,0.619,3.41728639935892e-89
"Cenpv",2.91905314758065e-93,-2.69170709252301,0.047,0.506,6.06841958850541e-89
"Rps12",3.10600124911819e-92,-2.70559396132074,0.403,0.955,6.4570659967918e-88
"Abraxas2",5.78468657959825e-92,-9.06809154456045,0,0.205,1.20257849303268e-87
"Selenop",5.78468657959825e-92,-9.85282301724621,0,0.205,1.20257849303268e-87
"Mrgbp",2.12432619638653e-91,-6.18395065079789,0.001,0.216,4.41626172966795e-87
"Hipk2",8.682412147258e-90,-2.74054045028432,0.022,0.375,1.80498666129347e-85
"Entr1",2.01537043030008e-89,-9.51716097507508,0,0.199,4.18975358755084e-85
"Smim27",2.01537043030008e-89,-9.38834272624144,0,0.199,4.18975358755084e-85
"Cplane1",2.01537043030008e-89,-9.47497247737394,0,0.199,4.18975358755084e-85
"Slc49a4",2.01537043030008e-89,-9.66178712323405,0,0.199,4.18975358755084e-85
"CAAA01118383.1",2.01537043030008e-89,-9.13766904731909,0,0.199,4.18975358755084e-85
"Hist1h4d",5.81402311940573e-89,-4.5931413132168,0.008,0.273,1.20867726629326e-84
"Bst2",1.56122962406951e-88,-4.51045254497191,0.01,0.29,3.2456402654781e-84
"4930578M01Rik",1.7586216056454e-88,-3.89637381653159,0.008,0.273,3.65599845597623e-84
"Hras",3.70541099886843e-88,-1.93165916387878,0.056,0.534,7.70317892554758e-84
"Pip4p2",6.98658654547323e-87,-9.10972395619186,0,0.193,1.45244147693843e-82
"Gatd1",6.98658654547323e-87,-9.24221212306619,0,0.193,1.45244147693843e-82
"3110039M20Rik",6.98658654547323e-87,-9.7543833336494,0,0.193,1.45244147693843e-82
"Mtrex",6.98658654547323e-87,-8.99863465359734,0,0.193,1.45244147693843e-82
"Tasor",6.98658654547323e-87,-9.29633033198342,0,0.193,1.45244147693843e-82
"Impad1",7.66264619487776e-87,-2.39401738343224,0.03,0.409,1.59298751745314e-82
"Atf7ip",9.75026356390041e-87,-2.68562116555949,0.02,0.352,2.02698229229926e-82
"Ybx3",5.77523753665293e-86,-2.67892747894028,0.039,0.449,1.20061413149478e-81
"Cenpb",1.34133146959337e-85,-2.76830941524714,0.017,0.33,2.78849399213765e-81
"Egln1",7.16251820244394e-85,-2.0865269991804,0.023,0.369,1.48901590910607e-80
"Prxl2b",2.41003254552512e-84,-10.2626315580494,0,0.188,5.01021665889216e-80
"Etfrf1",2.41003254552512e-84,-8.87015733943899,0,0.188,5.01021665889216e-80
"Gm37494",2.41003254552512e-84,-9.40528678780029,0,0.188,5.01021665889216e-80
"Gm11361",2.41003254552512e-84,-8.93935613540845,0,0.188,5.01021665889216e-80
"Tmem35a",2.41003254552512e-84,-9.33728268957146,0,0.188,5.01021665889216e-80
"Tshz2",4.29507303685168e-84,-4.79232082106524,0.003,0.222,8.92902733631095e-80
"Tpt1",7.57678772335237e-84,-2.31418476144244,0.68,0.994,1.57513839980772e-79
"Rpl12",1.54660240612772e-83,-2.20909700995996,0.323,0.92,3.21523174209891e-79
"Map2",6.69838419655826e-83,-1.69003495975797,0.145,0.795,1.3925270906225e-78
"Stat1",4.64211534663693e-82,-5.07615528538767,0.004,0.222,9.65049359412352e-78
"Cnot9",8.27259993606298e-82,-9.19256872461543,0,0.182,1.71979080070813e-77
"Gm2000",8.27259993606298e-82,-9.27846693997752,0,0.182,1.71979080070813e-77
"D730003I15Rik",8.27259993606298e-82,-9.71252687240012,0,0.182,1.71979080070813e-77
